Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
Stardust - BBC Dramatisation,2016.0,Neil Gaiman,Fantasy,4.25,580,2.0,English,4.0,223.0,163
"The Sandman Omnibus, Vol. 3",2019.0,Neil Gaiman,Comics,4.58,528,919.0,English,48.0,847.0,164
The Sandman #16: Lost Hearts,1990.0,Neil Gaiman,Comics,4.34,550,26.0,English,4.0,194.0,165
The Sandman: Overture #5,2015.0,Neil Gaiman,Comics,4.42,527,18.0,English,7.0,434.0,166
The Sandman #15: Into the Night,2010.0,Neil Gaiman,Comics,4.2,554,22.0,English,8.0,204.0,167
"The Sandman: The Deluxe Edition, Book Three",2021.0,Neil Gaiman,Graphic Novels,4.45,520,544.0,English,45.0,444.0,168
The Sandman #19: A Midsummer Night's Dream,1990.0,Neil Gaiman,Comics,3.91,581,27.0,English,10.0,243.0,169
The Sandman #31: Three Septembers and a January,1991.0,Neil Gaiman,Comics,4.35,509,26.0,English,3.0,218.0,170
The Sandman #20: Façade,1990.0,Neil Gaiman,Comics,4.29,516,26.0,English,6.0,188.0,171
The Neil Gaiman Library Volume 1,2020.0,Neil Gaiman,Comics,4.06,544,312.0,English,34.0,550.0,172
A Death Gallery,1994.0,Neil Gaiman,Comics,4.36,477,34.0,English,4.0,781.0,173
The Sandman: Overture #6,2015.0,Neil Gaiman,Comics,4.55,454,61.0,English,6.0,384.0,174
The Sandman #29: Thermidor,1991.0,Neil Gaiman,Comics,3.82,532,26.0,English,8.0,223.0,175
Batman Black & White: A Black and White World,2010.0,Neil Gaiman,Comics,3.71,530,11.0,English,146.0,314.0,176
The Sandman #30: August,1991.0,Neil Gaiman,Comics,4.0,484,26.0,English,7.0,193.0,177
Spawn: Angela's Hunt,1995.0,Neil Gaiman,Comics,3.68,522,100.0,English,1.0,615.0,178
The Sandman #23: Season of Mists Chapter 2,1991.0,Neil Gaiman,Comics,4.51,412,25.0,English,6.0,170.0,179
The Sandman: Gallery of Dreams,1994.0,Neil Gaiman,Graphic Novels,4.46,414,34.0,English,3.0,806.0,180
The Sandman #50: Ramadan,1993.0,Neil Gaiman,Comics,4.3,424,40.0,English,6.0,209.0,181
Death: The High Cost of Living #1,1993.0,Neil Gaiman,Comics,4.4,413,32.0,English,9.0,427.0,182
Sunbird,2005.0,Neil Gaiman,Fantasy,4.21,429,30.0,English,4.0,622.0,183
The Sandman #21: Season of Mists - A Prologue,1990.0,Neil Gaiman,Comics,4.42,408,26.0,English,4.0,160.0,184
Sandman Absolute 1: Sueño,2010.0,Neil Gaiman,Comics,4.58,392,496.0,Spanish; Castilian,20.0,227.0,185
The Sandman #22: Season of Mists Chapter 1,1991.0,Neil Gaiman,Comics,4.35,410,26.0,English,2.0,171.0,186
"The Sandman: The Deluxe Edition, Book Four",2021.0,Neil Gaiman,Graphic Novels,4.45,372,536.0,English,46.0,440.0,187
American Gods: Shadows #2,2017.0,Neil Gaiman,Graphic Novels,4.12,394,30.0,English,62.0,442.0,188
The Sandman #24: Season of Mists Chapter 3,1991.0,Neil Gaiman,Comics,4.3,377,26.0,English,6.0,161.0,189
The Sandman #25: Season of Mists Chapter 4,1991.0,Neil Gaiman,Comics,4.26,380,26.0,English,6.0,177.0,190
Down to a Sunless Sea,2013.0,Neil Gaiman,Short Stories,3.73,431,5.0,English,,677.0,191
"The Year's Best Dark Fantasy & Horror, 2011 Edition",2011.0,Neil Gaiman,Horror,3.82,417,544.0,English,75.0,750.0,192
The Sandman #26: Season of Mists Chapter 5,1991.0,Neil Gaiman,Comics,4.33,363,26.0,English,4.0,155.0,193
The Sandman #27: Season of Mists Chapter 6,1991.0,Neil Gaiman,Comics,4.34,359,25.0,English,1.0,164.0,194
Norse Mythology: A BBC Radio 4 full-cast dramatisation,2019.0,Neil Gaiman,Audiobook,4.32,354,,N/A,2.0,255.0,195
The Sandman #28: Season of Mists Epilogue,1991.0,Neil Gaiman,Comics,4.32,351,25.0,English,1.0,157.0,196
The Price,1997.0,Neil Gaiman,Short Stories,4.09,369,20.0,English,,314.0,197
"The Annotated Sandman, Vol. 2",2012.0,Neil Gaiman,Graphic Novels,4.52,333,519.0,English,16.0,758.0,198
Sandman Absolute 2: Deseo,2005.0,Neil Gaiman,Comics,4.6,327,496.0,Spanish; Castilian,11.0,121.0,199
"Norse Mythology, Vol. 3",2023.0,Neil Gaiman,Comics,4.16,358,152.0,English,12.0,188.0,200
Now We Are Sick,1991.0,Neil Gaiman,Poetry,3.69,403,108.0,English,5.0,960.0,201
Coisas frágeis 2,2006.0,Neil Gaiman,Fiction,3.8,384,166.0,Portuguese,6.0,215.0,202
October in the Chair,2002.0,Neil Gaiman,Fantasy,4.13,352,50.0,English,4.0,339.0,203
Bitter Grounds,2003.0,Neil Gaiman,Short Stories,3.39,422,17.0,English,3.0,413.0,204
The Case of the Four and Twenty Blackbirds,1984.0,Neil Gaiman,Fantasy,3.57,399,16.0,English,1.0,481.0,205
The American Gods Quartet,2019.0,Neil Gaiman,Fantasy,4.36,311,674.0,English,122.0,519.0,206
The Day The Saucers Came,2009.0,Neil Gaiman,Poetry,4.17,325,3.0,English,1.0,315.0,207
Neil Gaiman's How the Marquis Got His Coat Back,2016.0,Neil Gaiman,Fantasy,4.19,315,1.0,English,2.0,135.0,208
Adventures in the Dream Trade,2002.0,Neil Gaiman,Fantasy,3.63,353,286.0,English,16.0,1037.0,209
Warning: Contains Language,1995.0,Neil Gaiman,Fantasy,4.14,308,2.0,N/A,3.0,466.0,210
The Return of the Thin White Duke,2015.0,Neil Gaiman,Fantasy,3.75,341,14.0,English,,531.0,211
Sandman: Muerte,2015.0,Neil Gaiman,Comics,4.2,302,216.0,Spanish; Castilian,7.0,100.0,212
A Little Gold Book of Ghastly Stuff,2011.0,Neil Gaiman,Fantasy,3.58,347,158.0,English,16.0,873.0,213
Sandman Absolute 3: Delirio,2012.0,Neil Gaiman,Comics,4.51,274,408.0,Spanish; Castilian,2.0,120.0,214
Sandman Box Set,2020.0,Neil Gaiman,Fantasy,4.72,262,3000.0,English,24.0,398.0,215
The Sandman #38: The Hunt,1992.0,Neil Gaiman,Comics,4.1,300,26.0,English,3.0,149.0,216
The Sandman #32: Slaughter on Fifth Avenue,1991.0,Neil Gaiman,Comics,4.17,291,27.0,English,4.0,143.0,217
The Sandman #34: Bad Moon Rising,1992.0,Neil Gaiman,Comics,4.3,281,26.0,English,2.0,135.0,218
A Walking Tour of the Shambles,2002.0,Neil Gaiman,Fantasy,3.73,323,57.0,N/A,,765.0,219
The Sandman #33: Lullabies of Broadway,1991.0,Neil Gaiman,Comics,4.24,284,26.0,English,2.0,145.0,220
The Sandman #40: The Parliament of Rooks,1992.0,Neil Gaiman,Comics,4.36,274,25.0,English,4.0,144.0,221
"The Sandman: The Deluxe Edition, Book Five",2022.0,Neil Gaiman,Comics,4.36,269,632.0,English,29.0,436.0,222
The Sandman #37: I Woke Up and One Of Us Was Crying,1992.0,Neil Gaiman,Comics,4.27,273,26.0,English,1.0,136.0,223
Vertigo: Winter's Edge,1998.0,Neil Gaiman,Comics,3.63,319,96.0,English,3.0,381.0,224
The Sandman #36: Over the Sea to Sky,1992.0,Neil Gaiman,Comics,4.21,270,40.0,English,2.0,138.0,225
The Sandman #35: Beginning to See the light,1992.0,Neil Gaiman,Comics,4.1,271,26.0,English,3.0,137.0,226
"The Annotated Sandman, Vol. 3",2014.0,Neil Gaiman,Graphic Novels,4.44,246,520.0,English,9.0,673.0,227
American Gods: Shadows #3,2017.0,Neil Gaiman,Fantasy,4.1,266,27.0,English,36.0,355.0,228
Green Lantern/Superman: Legend of the Green Flame,2000.0,Neil Gaiman,Comics,3.59,302,38.0,English,1.0,291.0,229
The Sandman #39: Soft Places,1992.0,Neil Gaiman,Comics,3.81,283,25.0,English,4.0,143.0,230
Babycakes,1990.0,Neil Gaiman,Short Stories,3.81,274,6.0,English,1.0,250.0,231
Neil Gaiman's Likely Stories,2016.0,Neil Gaiman,Horror,3.7,277,47.0,English,9.0,592.0,232
"9-11: September 11th 2001, Volume 2",2002.0,Neil Gaiman,Comics,3.75,271,224.0,English,4.0,293.0,233
The Neil Gaiman Library Volume 2,2020.0,Neil Gaiman,Fantasy,3.98,252,240.0,English,13.0,288.0,234
The Sandman #41: Brief Lives Part 1,1992.0,Neil Gaiman,Comics,4.25,235,26.0,English,1.0,135.0,235
Absolute Sandman Overture,2009.0,Neil Gaiman,Comics,4.56,219,416.0,English,6.0,366.0,236
Eternals (2006-2007) #1,2006.0,Neil Gaiman,Marvel,3.72,267,38.0,English,15.0,244.0,237
