Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
Gilded Dreams,2020,Donna Russo Morin,Historical Fiction,4.23,240,350.0,English,193.0,683.0,130
If I Never Met You,2020,Mhairi McFarlane,Romance,3.81,67661,409.0,English,3431.0,94300.0,131
The Yellow Bird Sings,2020,Jennifer Rosner,Historical Fiction,4.08,14241,,English,1591.0,30400.0,132
The Empress of Salt and Fortune,2020,Nghi Vo,Fantasy,3.94,39012,119.0,English,1952.0,85500.0,133
All Boys Aren’t Blue,2020,George M. Johnson,Nonfiction,4.2,41065,304.0,English,2146.0,94700.0,134
Axiom's End,2020,Lindsay Ellis,Science Fiction,3.72,26296,384.0,English,2721.0,55200.0,135
The Queen's Assassin,2020,Melissa de la Cruz,Fantasy,3.44,18361,384.0,English,1449.0,70700.0,136
Moonflower Murders,2020,Anthony Horowitz,Mystery,4.06,55707,608.0,English,5947.0,41800.0,137
Spoiler Alert,2020,Olivia Dade,Romance,3.63,48535,409.0,English,1984.0,90900.0,138
In a Holidaze,2020,Christina Lauren,Christmas,3.68,201775,307.0,English,10500.0,173000.0,139
The Book of Two Ways,2020,Jodi Picoult,Fiction,3.66,102748,416.0,English,19200.0,92000.0,140
Stranger Planet,2020,Nathan W. Pyle,Graphic Novels,4.47,7271,144.0,English,127.0,7090.0,141
The Paris Hours,2020,Alex George,Historical Fiction,3.7,14719,272.0,English,1477.0,38200.0,142
The Night Swim,2020,Megan Goldin,Thriller,4.03,113401,341.0,English,3997.0,119000.0,143
Fable,2020,Adrienne Young,Fantasy,4.02,103717,357.0,English,4135.0,233000.0,144
I Will Judge You by Your Bookshelf,2020,Grant Snider,Graphic Novels,3.73,20017,128.0,English,444.0,46400.0,145
Rage,2020,Bob Woodward,Nonfiction,4.17,25026,475.0,English,14300.0,23600.0,146
The Shadows,2020,Alex North,Horror,3.74,60419,325.0,English,3286.0,101000.0,147
Rhythm of War,2020,Brandon Sanderson,Fantasy,4.62,178520,1232.0,English,25700.0,121000.0,148
Un-Trumping America: A Plan to Make America a Democracy Again,2020,Dan Pfeiffer,Politics,4.21,2682,273.0,English,478.0,2553.0,149
The Boatman's Daughter,2020,Andy Davidson,Horror,3.49,5145,403.0,English,795.0,21700.0,150
I Want You to Know We’re Still Here: A Post-Holocaust Memoir,2020,Esther Safran Foer,Nonfiction,3.92,2558,240.0,English,355.0,10500.0,151
"A Phoenix First Must Burn: Sixteen Stories of Black Girl Magic, Resistance, and Hope",2020,Patrice Caldwell,Fantasy,3.96,3133,354.0,English,336.0,19100.0,152
Break Your Glass Slippers,2020,Amanda Lovelace,Poetry,3.94,15463,160.0,English,278.0,32600.0,153
Shuggie Bain,2020,Douglas Stuart,Fiction,4.31,166947,430.0,English,17500.0,200000.0,154
The Wonder Boy of Whistle Stop,2020,Fannie Flagg,Fiction,4.1,18738,283.0,English,2108.0,17400.0,155
Chosen Ones,2020,Veronica Roth,Fantasy,3.59,26322,432.0,English,2732.0,75800.0,156
Greenlights,2020,Matthew McConaughey,Nonfiction,4.21,374311,289.0,English,24000.0,245000.0,157
The Authenticity Project,2020,Clare Pooley,Fiction,3.94,89046,357.0,English,4827.0,81600.0,158
"Check, Please! Book 2: Sticks & Scones",2020,Ngozi Ukazu,Graphic Novels,4.39,15063,336.0,English,210.0,8835.0,159
How the King of Elfhame Learned to Hate Stories,2020,Holly Black,Fantasy,4.17,223165,200.0,English,4765.0,205000.0,160
Anna K: A Love Story,2020,Jenny Lee,Romance,3.57,17765,400.0,English,836.0,34400.0,161
Vicious Prince,2020,Rina Kent,Romance,4.1,53936,300.0,English,4581.0,35800.0,162
Jack,2020,Marilynne Robinson,Fiction,3.86,9415,309.0,English,1753.0,23900.0,163
Harrow the Ninth,2020,Tamsyn Muir,Fantasy,4.29,75951,512.0,English,7449.0,62900.0,164
First Comes Scandal,2020,Julia Quinn,Romance,3.83,40810,288.0,English,2828.0,23000.0,165
A Wizard’s Guide to Defensive Baking,2020,T. Kingfisher,Fantasy,4.07,51363,306.0,English,3265.0,93700.0,166
Luster,2020,Raven Leilani,Fiction,3.52,104091,227.0,English,6030.0,8540.0,167
Someday in Paris,2020,Olivia Lara,Romance,4.15,2271,427.0,English,924.0,21400.0,168
Djinn Patrol on the Purple Line,2020,Deepa Anappara,Fiction,3.81,11316,347.0,English,1408.0,23800.0,169
Return of the Thief,2020,Megan Whalen Turner,Fantasy,4.48,11103,464.0,English,598.0,21100.0,170
"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",2020,Lulu Miller,Nonfiction,4.15,45627,225.0,English,4029.0,95000.0,171
Open Book,2020,Jessica Simpson,Memoir,4.1,106301,416.0,English,7210.0,48800.0,172
The Borgia Confessions,2020,Alyssa Palombo,Historical Fiction,3.84,869,432.0,English,72.0,4309.0,173
His & Hers,2020,Alice Feeney,Thriller,4.08,181031,304.0,English,17700.0,215000.0,174
A Beautifully Foolish Endeavor,2020,Hank Green,Science Fiction,4.23,52281,452.0,English,2411.0,42600.0,175
The Familiar Dark,2020,Amy Engel,Thriller,3.74,8596,238.0,English,373.0,20800.0,176
Ring Shout,2020,P. Djèlí Clark,Horror,3.98,39665,185.0,English,1834.0,99300.0,177
Hiding in Plain Sight: The Invention of Donald Trump and the Erosion of America,2020,Sarah Kendzior,Nonfiction,4.43,4155,320.0,English,1489.0,8127.0,178
When We Were Vikings,2020,Andrew David MacDonald,Fiction,3.84,13108,336.0,N/A,676.0,33300.0,179
Victory at Prescott High,2020,C.M. Stunich,Reverse Harem,4.36,13489,,English,2472.0,4399.0,180
The Dictionary of Lost Words,2020,Pip Williams,Historical Fiction,4.02,160569,384.0,English,15100.0,257000.0,181
A Killing Frost,2020,Seanan McGuire,Urban Fantasy,4.33,6134,368.0,English,721.0,2639.0,182
The Night Country,2020,Melissa Albert,Fantasy,3.71,19053,331.0,English,1098.0,45100.0,183
"Fence, Vol. 4: Rivals",2020,C.S. Pacat,Graphic Novels,4.22,14002,112.0,English,97.0,5948.0,184
Blood & Honey,2020,Shelby Mahurin,Fantasy,3.52,128040,536.0,English,13800.0,161000.0,185
The Law of Innocence,2020,Michael Connelly,Mystery,4.35,69121,432.0,English,14300.0,18100.0,186
Pretty Things,2020,Janelle Brown,Fiction,3.9,83275,496.0,English,7260.0,99000.0,187
Sharks in the Time of Saviors,2020,Kawai Strong Washburn,Fiction,3.83,19949,376.0,English,2020.0,46500.0,188
The Ickabog,2020,J.K. Rowling,Fantasy,3.91,51115,290.0,English,3873.0,43100.0,189
Well Played,2020,Jen DeLuca,Romance,3.52,30979,332.0,English,631.0,27600.0,190
The Edge of Belonging,2020,Amanda Cox,Christian Fiction,4.44,2516,384.0,English,477.0,6217.0,191
